"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:20:39.338, 11 giu 2023","12,2","0,0","320.864.288","185.199.152"
"10:20:40.339, 11 giu 2023","12,2","0,1","320.864.288","26.119.864"
"10:20:41.340, 11 giu 2023","13,2","0,0","320.864.288","36.457.760"
"10:20:42.341, 11 giu 2023","12,6","0,0","320.864.288","96.115.376"
"10:20:43.342, 11 giu 2023","13,0","0,0","320.864.288","161.241.984"
"10:20:44.344, 11 giu 2023","13,0","0,0","320.864.288","162.812.416"
"10:20:45.346, 11 giu 2023","12,7","0,1","320.864.288","5.961.752"
"10:20:46.347, 11 giu 2023","12,2","0,0","320.864.288","28.918.968"
"10:20:47.349, 11 giu 2023","13,4","0,0","320.864.288","51.986.800"
"10:20:48.350, 11 giu 2023","14,2","0,0","320.864.288","45.820.008"
"10:20:49.351, 11 giu 2023","12,2","0,1","320.864.288","79.895.488"
"10:20:50.352, 11 giu 2023","13,0","0,1","320.864.288","98.687.616"
"10:20:51.353, 11 giu 2023","13,4","0,0","320.864.288","106.367.168"
"10:20:52.354, 11 giu 2023","13,5","0,0","320.864.288","108.403.776"
"10:20:53.355, 11 giu 2023","13,3","0,0","320.864.288","40.912.960"
"10:20:54.356, 11 giu 2023","13,6","0,0","320.864.288","187.081.048"
"10:20:55.357, 11 giu 2023","12,2","0,1","320.864.288","127.097.048"
"10:20:56.358, 11 giu 2023","13,5","0,0","320.864.288","135.984.864"
"10:20:57.359, 11 giu 2023","14,2","0,0","320.864.288","188.438.544"
"10:20:58.361, 11 giu 2023","12,0","0,1","320.864.288","58.335.376"
"10:20:59.362, 11 giu 2023","14,1","0,0","320.864.288","76.113.200"
"10:21:00.364, 11 giu 2023","13,3","0,0","320.864.288","88.699.784"
"10:21:01.366, 11 giu 2023","13,2","0,1","320.864.288","88.909.112"
"10:21:02.368, 11 giu 2023","13,3","0,0","320.864.288","93.097.160"
"10:21:03.369, 11 giu 2023","12,2","0,1","320.864.288","104.207.064"
"10:21:04.370, 11 giu 2023","13,0","0,0","320.864.288","109.531.200"
"10:21:05.371, 11 giu 2023","12,0","0,1","320.864.288","151.933.024"
"10:21:06.373, 11 giu 2023","13,3","0,1","320.864.288","154.156.512"
"10:21:07.375, 11 giu 2023","13,9","0,1","385.876.000","38.304.992"
"10:21:08.377, 11 giu 2023","13,2","0,0","385.876.000","178.663.656"
"10:21:09.378, 11 giu 2023","12,8","0,0","385.876.000","115.601.856"
"10:21:10.380, 11 giu 2023","12,2","0,0","385.876.000","77.770.448"
"10:21:11.381, 11 giu 2023","19,8","0,0","385.876.000","5.823.360"
"10:21:12.383, 11 giu 2023","12,0","0,0","385.876.000","82.776.880"
"10:21:13.384, 11 giu 2023","13,3","0,0","385.876.000","198.032.472"
"10:21:14.386, 11 giu 2023","12,4","0,0","385.876.000","128.133.248"
"10:21:15.387, 11 giu 2023","14,1","0,0","385.876.000","28.683.912"
"10:21:16.389, 11 giu 2023","12,2","0,0","385.876.000","118.897.312"
"10:21:17.390, 11 giu 2023","12,8","0,0","385.876.000","162.972.400"
"10:21:18.392, 11 giu 2023","13,2","0,0","385.876.000","81.133.584"
"10:21:19.393, 11 giu 2023","13,9","0,0","385.876.000","217.750.144"
"10:21:20.394, 11 giu 2023","12,2","0,0","385.876.000","154.412.136"
"10:21:21.395, 11 giu 2023","13,2","0,0","385.876.000","76.485.312"
"10:21:22.397, 11 giu 2023","12,2","0,0","385.876.000","10.438.848"
"10:21:23.399, 11 giu 2023","12,6","0,0","385.876.000","213.676.224"
"10:21:24.400, 11 giu 2023","12,2","0,0","385.876.000","152.862.008"
"10:21:25.401, 11 giu 2023","12,3","0,0","385.876.000","44.671.288"
"10:21:26.402, 11 giu 2023","12,2","0,0","385.876.000","205.868.160"
"10:21:27.403, 11 giu 2023","13,0","0,0","385.876.000","166.314.176"
"10:21:28.405, 11 giu 2023","13,2","0,0","385.876.000","125.703.680"
"10:21:29.406, 11 giu 2023","12,2","0,0","385.876.000","226.724.304"
"10:21:30.407, 11 giu 2023","13,0","0,0","385.876.000","148.575.616"
"10:21:31.408, 11 giu 2023","18,2","0,0","385.876.000","125.342.840"
"10:21:32.409, 11 giu 2023","13,9","0,0","385.876.000","100.233.120"
"10:21:33.411, 11 giu 2023","12,2","0,0","385.876.000","58.175.936"
"10:21:34.412, 11 giu 2023","12,4","0,0","385.876.000","29.332.768"
"10:21:35.413, 11 giu 2023","13,0","0,0","385.876.000","230.823.536"
"10:21:36.414, 11 giu 2023","14,5","0,0","385.876.000","209.761.664"
"10:21:37.415, 11 giu 2023","12,4","0,0","385.876.000","178.465.744"
"10:21:38.416, 11 giu 2023","12,0","0,0","385.876.000","151.280.424"
"10:21:39.418, 11 giu 2023","12,2","0,0","385.876.000","22.501.760"
"10:21:40.419, 11 giu 2023","13,2","0,0","385.876.000","182.021.816"
"10:21:41.420, 11 giu 2023","12,4","0,0","385.876.000","51.688.448"
"10:21:42.421, 11 giu 2023","12,2","0,0","385.876.000","188.047.528"
"10:21:43.422, 11 giu 2023","13,1","0,0","385.876.000","96.114.560"
"10:21:44.423, 11 giu 2023","12,0","0,0","385.876.000","64.646.000"
"10:21:45.424, 11 giu 2023","12,8","0,0","385.876.000","213.984.552"
"10:21:46.425, 11 giu 2023","15,1","0,0","385.876.000","140.800.832"
"10:21:47.427, 11 giu 2023","13,1","0,0","385.876.000","59.529.504"
"10:21:48.428, 11 giu 2023","13,9","0,0","385.876.000","227.226.624"
"10:21:49.429, 11 giu 2023","12,2","0,0","385.876.000","162.462.016"
