"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:30:43.112, 11 giu 2023","12,2","0,1","385.876.000","196.413.504"
"10:30:44.113, 11 giu 2023","12,4","0,0","385.876.000","146.551.384"
"10:30:45.114, 11 giu 2023","13,8","0,0","385.876.000","117.309.728"
"10:30:46.115, 11 giu 2023","13,0","0,0","385.876.000","81.543.872"
"10:30:47.116, 11 giu 2023","12,2","0,0","385.876.000","182.975.616"
"10:30:48.117, 11 giu 2023","13,6","0,0","385.876.000","145.876.992"
"10:30:49.119, 11 giu 2023","11,8","0,0","385.876.000","135.485.744"
"10:30:50.120, 11 giu 2023","13,2","0,0","385.876.000","127.099.456"
"10:30:51.121, 11 giu 2023","12,5","0,0","385.876.000","88.499.888"
"10:30:52.122, 11 giu 2023","12,2","0,0","385.876.000","67.515.904"
"10:30:53.122, 11 giu 2023","13,6","0,0","385.876.000","25.098.976"
"10:30:54.124, 11 giu 2023","13,1","0,0","385.876.000","201.530.336"
"10:30:55.126, 11 giu 2023","14,9","0,1","385.876.000","151.250.600"
"10:30:56.126, 11 giu 2023","13,5","0,1","385.876.000","86.567.496"
"10:30:57.127, 11 giu 2023","12,6","0,1","385.876.000","31.927.696"
"10:30:58.129, 11 giu 2023","13,2","0,0","385.876.000","203.492.184"
"10:30:59.130, 11 giu 2023","13,1","0,0","385.876.000","111.478.656"
"10:31:00.132, 11 giu 2023","12,4","0,0","385.876.000","230.562.432"
"10:31:01.134, 11 giu 2023","13,0","0,0","385.876.000","167.309.568"
"10:31:02.136, 11 giu 2023","12,2","0,0","385.876.000","123.328.752"
"10:31:03.137, 11 giu 2023","12,0","0,0","385.876.000","81.368.944"
"10:31:04.138, 11 giu 2023","13,6","0,0","385.876.000","31.729.472"
"10:31:05.139, 11 giu 2023","12,5","0,0","385.876.000","170.879.744"
"10:31:06.140, 11 giu 2023","12,8","0,0","385.876.000","93.742.976"
"10:31:07.142, 11 giu 2023","12,5","0,0","385.876.000","29.289.816"
"10:31:08.143, 11 giu 2023","12,8","0,0","385.876.000","213.253.792"
"10:31:09.144, 11 giu 2023","13,2","0,0","385.876.000","234.166.264"
"10:31:10.145, 11 giu 2023","13,3","0,0","385.876.000","139.626.832"
"10:31:11.146, 11 giu 2023","12,0","0,0","385.876.000","12.328.232"
"10:31:12.147, 11 giu 2023","13,0","0,0","385.876.000","157.405.640"
"10:31:13.148, 11 giu 2023","12,2","0,0","385.876.000","73.565.112"
"10:31:14.149, 11 giu 2023","12,2","0,0","385.876.000","203.428.552"
"10:31:15.150, 11 giu 2023","12,8","0,0","385.876.000","134.122.880"
"10:31:16.151, 11 giu 2023","13,5","0,0","385.876.000","66.675.328"
"10:31:17.153, 11 giu 2023","11,0","0,0","385.876.000","133.812.592"
"10:31:18.154, 11 giu 2023","13,9","0,0","385.876.000","31.119.104"
"10:31:19.156, 11 giu 2023","12,5","0,0","385.876.000","103.198.056"
"10:31:20.350, 11 giu 2023","12,4","0,0","385.876.000","89.980.000"
"10:31:21.158, 11 giu 2023","12,3","0,0","385.876.000","142.874.112"
"10:31:22.160, 11 giu 2023","12,3","0,0","385.876.000","73.909.488"
"10:31:23.161, 11 giu 2023","14,9","0,0","385.876.000","18.577.264"
"10:31:24.162, 11 giu 2023","12,4","0,0","385.876.000","126.601.696"
"10:31:25.163, 11 giu 2023","14,1","0,0","385.876.000","64.940.936"
"10:31:26.164, 11 giu 2023","12,4","0,0","385.876.000","193.002.848"
"10:31:27.174, 11 giu 2023","12,4","0,0","385.876.000","113.180.816"
"10:31:28.167, 11 giu 2023","13,2","0,0","385.876.000","132.594.112"
"10:31:29.168, 11 giu 2023","12,4","0,0","385.876.000","30.916.616"
"10:31:30.169, 11 giu 2023","13,2","0,0","385.876.000","109.660.576"
"10:31:31.170, 11 giu 2023","12,2","0,0","385.876.000","235.794.992"
"10:31:32.171, 11 giu 2023","12,2","0,1","385.876.000","135.182.752"
"10:31:33.172, 11 giu 2023","12,2","0,0","385.876.000","225.059.840"
"10:31:34.173, 11 giu 2023","13,6","0,1","385.876.000","82.605.832"
"10:31:35.174, 11 giu 2023","14,3","0,0","385.876.000","199.894.016"
"10:31:36.175, 11 giu 2023","12,2","0,1","385.876.000","93.089.528"
"10:31:37.176, 11 giu 2023","12,4","0,0","385.876.000","229.554.944"
"10:31:38.177, 11 giu 2023","13,5","0,1","385.876.000","139.377.184"
"10:31:39.178, 11 giu 2023","12,4","0,1","385.876.000","50.996.224"
"10:31:40.179, 11 giu 2023","13,0","0,1","385.876.000","164.682.768"
"10:31:41.180, 11 giu 2023","12,2","0,0","385.876.000","25.689.328"
"10:31:42.181, 11 giu 2023","12,4","0,0","385.876.000","156.559.088"
"10:31:43.207, 11 giu 2023","13,2","0,1","385.876.000","124.596.000"
"10:31:44.183, 11 giu 2023","12,6","0,0","385.876.000","37.792.344"
"10:31:45.184, 11 giu 2023","13,2","0,0","385.876.000","191.519.488"
"10:31:46.185, 11 giu 2023","12,5","0,0","385.876.000","79.687.168"
"10:31:47.357, 11 giu 2023","12,6","0,0","385.876.000","46.585.168"
"10:31:48.187, 11 giu 2023","13,4","0,0","385.876.000","163.134.224"
"10:31:49.188, 11 giu 2023","12,2","0,0","385.876.000","133.064.344"
"10:31:50.189, 11 giu 2023","12,6","0,0","385.876.000","110.095.200"
"10:31:51.190, 11 giu 2023","12,8","0,0","385.876.000","113.920.896"
"10:31:52.191, 11 giu 2023","12,2","0,0","385.876.000","193.666.560"
"10:31:53.192, 11 giu 2023","12,2","0,0","385.876.000","63.106.624"
"10:31:54.193, 11 giu 2023","13,2","0,0","385.876.000","227.043.840"
"10:31:55.194, 11 giu 2023","12,4","0,0","385.876.000","134.552.960"
"10:31:56.195, 11 giu 2023","13,4","0,0","385.876.000","18.286.912"
"10:31:57.196, 11 giu 2023","12,2","0,0","385.876.000","165.217.688"
"10:31:58.196, 11 giu 2023","13,2","0,0","385.876.000","102.480.880"
"10:31:59.197, 11 giu 2023","12,2","0,0","385.876.000","163.296.880"
"10:32:00.250, 11 giu 2023","13,9","0,0","385.876.000","25.504.432"
"10:32:01.200, 11 giu 2023","12,6","0,0","385.876.000","165.866.944"
"10:32:02.201, 11 giu 2023","12,8","0,0","385.876.000","71.892.064"
"10:32:03.202, 11 giu 2023","12,3","0,0","385.876.000","231.570.816"
"10:32:04.203, 11 giu 2023","12,5","0,0","385.876.000","122.878.512"
"10:32:05.205, 11 giu 2023","13,4","0,0","385.876.000","47.194.560"
"10:32:06.206, 11 giu 2023","12,4","0,0","385.876.000","198.221.840"
"10:32:07.208, 11 giu 2023","13,8","0,0","385.876.000","120.041.608"
"10:32:08.210, 11 giu 2023","12,4","0,0","385.876.000","39.320.320"
"10:32:09.211, 11 giu 2023","12,3","0,0","385.876.000","241.023.840"
"10:32:10.212, 11 giu 2023","13,0","0,1","385.876.000","215.950.560"
"10:32:11.213, 11 giu 2023","12,6","0,1","385.876.000","188.850.720"
"10:32:12.214, 11 giu 2023","13,3","0,1","385.876.000","157.276.672"
"10:32:13.216, 11 giu 2023","12,6","0,0","385.876.000","68.043.104"
"10:32:14.217, 11 giu 2023","13,4","0,0","385.876.000","21.964.288"
"10:32:15.219, 11 giu 2023","12,4","0,0","385.876.000","200.721.984"
"10:32:16.220, 11 giu 2023","13,9","0,0","385.876.000","152.635.136"
"10:32:17.221, 11 giu 2023","12,4","0,0","385.876.000","89.696.448"
"10:32:18.222, 11 giu 2023","13,0","0,0","385.876.000","189.000.480"
"10:32:19.224, 11 giu 2023","12,4","0,0","385.876.000","118.263.704"
"10:32:20.226, 11 giu 2023","12,4","0,0","385.876.000","97.325.840"
"10:32:21.350, 11 giu 2023","12,6","0,0","385.876.000","38.843.200"
"10:32:22.228, 11 giu 2023","12,0","0,0","385.876.000","150.028.416"
"10:32:23.230, 11 giu 2023","13,0","0,0","385.876.000","78.677.048"
"10:32:24.232, 11 giu 2023","13,8","0,1","385.876.000","43.616.224"
"10:32:25.233, 11 giu 2023","12,3","0,0","385.876.000","208.136.560"
"10:32:26.234, 11 giu 2023","12,4","0,0","385.876.000","152.322.656"
"10:32:27.236, 11 giu 2023","13,1","0,0","385.876.000","102.879.760"
"10:32:28.238, 11 giu 2023","12,4","0,0","385.876.000","21.489.720"
"10:32:29.240, 11 giu 2023","13,0","0,0","385.876.000","216.686.816"
"10:32:30.242, 11 giu 2023","11,8","0,0","385.876.000","140.422.656"
"10:32:31.244, 11 giu 2023","13,3","0,0","385.876.000","52.952.832"
"10:32:32.244, 11 giu 2023","13,6","0,0","385.876.000","210.266.624"
"10:32:33.250, 11 giu 2023","12,6","0,1","385.876.000","143.349.456"
"10:32:34.254, 11 giu 2023","13,7","0,0","385.876.000","80.434.032"
"10:32:35.326, 11 giu 2023","12,2","0,0","385.876.000","44.686.904"
"10:32:36.249, 11 giu 2023","13,7","0,0","385.876.000","186.798.848"
"10:32:37.251, 11 giu 2023","11,8","0,0","385.876.000","130.079.928"
"10:32:38.251, 11 giu 2023","12,4","0,0","385.876.000","78.564.848"
"10:32:39.253, 11 giu 2023","12,8","0,0","385.876.000","57.503.760"
"10:32:40.254, 11 giu 2023","12,4","0,0","385.876.000","231.558.304"
"10:32:41.255, 11 giu 2023","14,5","0,1","385.876.000","184.843.648"
"10:32:42.256, 11 giu 2023","13,6","0,0","385.876.000","113.252.920"
"10:32:43.257, 11 giu 2023","12,6","0,0","385.876.000","45.848.520"
"10:32:44.258, 11 giu 2023","12,4","0,0","385.876.000","25.325.472"
"10:32:45.259, 11 giu 2023","13,1","0,0","385.876.000","222.484.344"
"10:32:46.263, 11 giu 2023","12,9","0,0","385.876.000","154.589.648"
"10:32:47.263, 11 giu 2023","12,0","0,0","385.876.000","52.332.992"
"10:32:48.265, 11 giu 2023","12,2","0,0","385.876.000","201.205.104"
"10:32:49.266, 11 giu 2023","13,0","0,0","385.876.000","127.639.552"
"10:32:50.267, 11 giu 2023","13,3","0,1","385.876.000","29.143.800"
"10:32:51.267, 11 giu 2023","14,0","0,0","385.876.000","188.594.032"
"10:32:52.268, 11 giu 2023","12,6","0,0","385.876.000","132.667.648"
"10:32:53.270, 11 giu 2023","12,6","0,0","385.876.000","54.732.088"
"10:32:54.271, 11 giu 2023","12,2","0,0","385.876.000","233.125.744"
"10:32:55.272, 11 giu 2023","14,4","0,0","385.876.000","147.972.152"
"10:32:56.273, 11 giu 2023","13,6","0,0","385.876.000","36.988.320"
"10:32:57.275, 11 giu 2023","12,4","0,0","385.876.000","217.530.960"
"10:32:58.276, 11 giu 2023","13,3","0,0","385.876.000","159.839.336"
"10:32:59.278, 11 giu 2023","12,4","0,0","385.876.000","84.361.392"
"10:33:00.279, 11 giu 2023","15,0","0,0","385.876.000","32.010.496"
"10:33:01.281, 11 giu 2023","12,2","0,0","385.876.000","88.894.288"
"10:33:02.302, 11 giu 2023","12,8","0,0","385.876.000","164.426.728"
"10:33:03.334, 11 giu 2023","11,9","0,0","385.876.000","31.894.496"
"10:33:04.361, 11 giu 2023","13,2","0,0","385.876.000","195.268.096"
"10:33:05.286, 11 giu 2023","12,0","0,0","385.876.000","209.979.672"
"10:33:06.287, 11 giu 2023","13,0","0,0","385.876.000","82.863.536"
"10:33:07.289, 11 giu 2023","12,2","0,0","385.876.000","216.960.464"
"10:33:08.291, 11 giu 2023","12,2","0,0","385.876.000","127.335.264"
"10:33:09.292, 11 giu 2023","13,0","0,1","385.876.000","71.166.112"
"10:33:10.293, 11 giu 2023","13,1","0,0","385.876.000","224.435.504"
"10:33:11.294, 11 giu 2023","13,0","0,1","385.876.000","155.133.696"
"10:33:12.295, 11 giu 2023","12,4","0,1","385.876.000","79.507.312"
"10:33:13.296, 11 giu 2023","12,0","0,0","385.876.000","239.014.592"
"10:33:14.297, 11 giu 2023","13,9","0,1","385.876.000","180.039.968"
"10:33:15.298, 11 giu 2023","12,2","0,1","385.876.000","138.086.208"
"10:33:16.299, 11 giu 2023","13,2","0,1","385.876.000","110.944.704"
"10:33:17.300, 11 giu 2023","12,4","0,1","385.876.000","73.330.464"
"10:33:18.301, 11 giu 2023","13,6","0,1","385.876.000","41.764.120"
"10:33:19.302, 11 giu 2023","12,4","0,0","385.876.000","228.673.904"
"10:33:20.303, 11 giu 2023","12,3","0,1","385.876.000","173.761.792"
"10:33:21.305, 11 giu 2023","13,0","0,1","385.876.000","129.983.424"
"10:33:22.306, 11 giu 2023","13,3","0,1","385.876.000","69.041.352"
"10:33:23.308, 11 giu 2023","14,4","0,0","385.876.000","230.667.552"
"10:33:24.310, 11 giu 2023","14,9","0,1","385.876.000","102.518.752"
"10:33:25.311, 11 giu 2023","12,2","0,0","385.876.000","203.155.232"
"10:33:26.313, 11 giu 2023","13,0","0,0","385.876.000","89.347.248"
"10:33:27.314, 11 giu 2023","13,8","0,0","385.876.000","58.143.824"
"10:33:28.315, 11 giu 2023","12,3","0,0","385.876.000","238.550.704"
"10:33:29.316, 11 giu 2023","12,4","0,0","385.876.000","190.155.368"
"10:33:30.318, 11 giu 2023","13,9","0,0","385.876.000","158.665.464"
"10:33:31.319, 11 giu 2023","13,6","0,0","385.876.000","94.335.992"
"10:33:32.339, 11 giu 2023","13,7","0,1","385.876.000","48.482.112"
"10:33:33.321, 11 giu 2023","13,1","0,0","385.876.000","203.930.208"
"10:33:34.405, 11 giu 2023","12,0","0,1","385.876.000","138.602.176"
"10:33:35.323, 11 giu 2023","13,4","0,0","385.876.000","35.139.408"
"10:33:36.324, 11 giu 2023","13,0","0,0","385.876.000","180.698.368"
"10:33:37.326, 11 giu 2023","13,5","0,0","385.876.000","110.440.192"
"10:33:38.327, 11 giu 2023","12,2","0,0","385.876.000","248.944.480"
"10:33:39.329, 11 giu 2023","13,0","0,0","385.876.000","191.071.568"
"10:33:40.331, 11 giu 2023","12,4","0,0","385.876.000","107.868.944"
"10:33:41.333, 11 giu 2023","12,2","0,0","385.876.000","77.601.584"
"10:33:42.334, 11 giu 2023","12,3","0,0","385.876.000","63.062.080"
"10:33:43.336, 11 giu 2023","12,5","0,0","385.876.000","220.306.736"
"10:33:44.337, 11 giu 2023","12,2","0,0","385.876.000","175.406.680"
"10:33:45.338, 11 giu 2023","14,5","0,0","385.876.000","146.052.904"
"10:33:46.339, 11 giu 2023","12,2","0,0","385.876.000","209.898.704"
"10:33:47.340, 11 giu 2023","12,8","0,0","385.876.000","146.922.752"
"10:33:48.341, 11 giu 2023","12,8","0,0","385.876.000","57.413.112"
"10:33:49.342, 11 giu 2023","12,2","0,0","385.876.000","153.572.696"
"10:33:50.343, 11 giu 2023","12,2","0,0","385.876.000","50.041.680"
"10:33:51.344, 11 giu 2023","12,4","0,0","385.876.000","228.416.320"
"10:33:52.346, 11 giu 2023","14,2","0,0","385.876.000","154.878.400"
"10:33:53.347, 11 giu 2023","13,0","0,0","385.876.000","87.911.920"
"10:33:54.348, 11 giu 2023","12,2","0,0","385.876.000","223.829.824"
"10:33:55.349, 11 giu 2023","12,2","0,0","385.876.000","148.921.392"
"10:33:56.351, 11 giu 2023","13,9","0,0","385.876.000","60.867.728"
"10:33:57.352, 11 giu 2023","13,0","0,0","385.876.000","220.769.840"
"10:33:58.353, 11 giu 2023","12,4","0,0","385.876.000","181.094.592"
"10:33:59.355, 11 giu 2023","12,3","0,0","385.876.000","153.792.224"
"10:34:00.356, 11 giu 2023","13,8","0,1","385.876.000","53.624.416"
"10:34:01.357, 11 giu 2023","12,2","0,0","385.876.000","221.446.432"
"10:34:02.359, 11 giu 2023","13,0","0,1","385.876.000","162.935.216"
"10:34:03.360, 11 giu 2023","12,6","0,1","385.876.000","89.434.688"
"10:34:04.361, 11 giu 2023","12,2","0,0","385.876.000","246.855.720"
"10:34:05.362, 11 giu 2023","13,0","0,1","385.876.000","177.658.856"
"10:34:06.364, 11 giu 2023","12,2","0,0","385.876.000","124.570.368"
"10:34:07.365, 11 giu 2023","12,2","0,0","385.876.000","62.316.072"
"10:34:08.367, 11 giu 2023","12,6","0,0","385.876.000","203.026.488"
"10:34:09.368, 11 giu 2023","14,2","0,0","385.876.000","165.708.544"
"10:34:10.369, 11 giu 2023","11,8","0,0","385.876.000","159.427.872"
"10:34:11.370, 11 giu 2023","12,4","0,0","385.876.000","149.105.408"
"10:34:12.371, 11 giu 2023","12,4","0,0","385.876.000","127.445.264"
"10:34:13.373, 11 giu 2023","12,2","0,0","385.876.000","23.848.320"
"10:34:14.374, 11 giu 2023","14,4","0,0","385.876.000","191.648.152"
"10:34:15.375, 11 giu 2023","12,6","0,1","385.876.000","89.896.960"
"10:34:16.376, 11 giu 2023","13,9","0,0","385.876.000","241.132.688"
"10:34:17.378, 11 giu 2023","13,0","0,0","385.876.000","176.135.600"
"10:34:18.379, 11 giu 2023","12,8","0,1","385.876.000","96.251.392"
"10:34:19.381, 11 giu 2023","12,8","0,0","385.876.000","29.238.496"
"10:34:20.382, 11 giu 2023","12,6","0,0","385.876.000","192.816.184"
"10:34:21.383, 11 giu 2023","12,2","0,1","385.876.000","143.613.608"
"10:34:22.385, 11 giu 2023","12,4","0,1","385.876.000","103.841.816"
"10:34:23.386, 11 giu 2023","14,9","0,1","385.876.000","49.080.768"
"10:34:24.387, 11 giu 2023","12,8","0,0","385.876.000","231.537.888"
"10:34:25.387, 11 giu 2023","12,8","0,0","385.876.000","183.174.336"
"10:34:26.388, 11 giu 2023","12,2","0,0","385.876.000","172.417.504"
"10:34:27.390, 11 giu 2023","13,4","0,0","385.876.000","166.486.016"
"10:34:28.391, 11 giu 2023","13,5","0,0","385.876.000","109.044.784"
"10:34:29.393, 11 giu 2023","13,4","0,0","385.876.000","60.177.208"
"10:34:30.395, 11 giu 2023","13,0","0,0","385.876.000","244.831.864"
"10:34:31.397, 11 giu 2023","15,2","0,0","385.876.000","156.389.520"
"10:34:32.399, 11 giu 2023","12,8","0,0","385.876.000","80.464.152"
"10:34:33.401, 11 giu 2023","12,2","0,0","385.876.000","231.663.040"
"10:34:34.401, 11 giu 2023","12,4","0,0","385.876.000","160.534.240"
"10:34:35.402, 11 giu 2023","12,2","0,0","385.876.000","89.002.664"
"10:34:36.403, 11 giu 2023","12,4","0,0","385.876.000","71.420.864"
"10:34:37.404, 11 giu 2023","13,0","0,0","385.876.000","236.664.744"
"10:34:38.405, 11 giu 2023","13,5","0,1","385.876.000","157.701.768"
"10:34:39.407, 11 giu 2023","13,6","0,1","385.876.000","86.530.424"
"10:34:40.408, 11 giu 2023","12,4","0,0","385.876.000","222.747.088"
"10:34:41.410, 11 giu 2023","13,0","0,1","385.876.000","147.352.872"
"10:34:42.412, 11 giu 2023","13,0","0,0","385.876.000","94.325.744"
"10:34:43.413, 11 giu 2023","13,9","0,0","385.876.000","46.968.224"
"10:34:44.415, 11 giu 2023","12,5","0,0","385.876.000","161.947.008"
"10:34:45.417, 11 giu 2023","12,4","0,1","385.876.000","107.820.512"
"10:34:46.418, 11 giu 2023","12,2","0,1","385.876.000","44.980.752"
"10:34:47.420, 11 giu 2023","12,2","0,0","385.876.000","210.545.632"
"10:34:48.422, 11 giu 2023","13,0","0,1","385.876.000","153.793.024"
"10:34:49.423, 11 giu 2023","12,4","0,0","385.876.000","99.725.024"
"10:34:50.424, 11 giu 2023","12,6","0,0","385.876.000","155.629.656"
"10:34:51.425, 11 giu 2023","12,4","0,0","385.876.000","87.791.832"
"10:34:52.427, 11 giu 2023","12,4","0,0","385.876.000","67.922.272"
"10:34:53.428, 11 giu 2023","12,4","0,0","385.876.000","228.903.328"
"10:34:54.429, 11 giu 2023","12,2","0,0","385.876.000","178.513.408"
"10:34:55.430, 11 giu 2023","14,3","0,1","385.876.000","93.907.456"
"10:34:56.432, 11 giu 2023","11,8","0,0","385.876.000","25.686.720"
"10:34:57.433, 11 giu 2023","12,5","0,0","385.876.000","156.987.648"
"10:34:58.434, 11 giu 2023","12,5","0,0","385.876.000","98.527.392"
"10:34:59.434, 11 giu 2023","12,5","0,0","385.876.000","52.364.728"
"10:35:00.436, 11 giu 2023","12,4","0,0","385.876.000","238.198.048"
"10:35:01.437, 11 giu 2023","14,5","0,1","385.876.000","173.423.096"
"10:35:02.438, 11 giu 2023","13,6","0,1","385.876.000","123.792.816"
"10:35:03.439, 11 giu 2023","12,7","0,1","385.876.000","65.091.448"
"10:35:04.441, 11 giu 2023","13,1","0,0","385.876.000","216.087.688"
"10:35:05.442, 11 giu 2023","13,7","0,0","385.876.000","109.980.072"
"10:35:06.444, 11 giu 2023","12,4","0,0","385.876.000","47.258.080"
"10:35:07.446, 11 giu 2023","12,2","0,0","385.876.000","210.706.304"
"10:35:08.447, 11 giu 2023","12,2","0,0","385.876.000","196.367.096"
"10:35:09.448, 11 giu 2023","12,8","0,0","385.876.000","153.844.168"
"10:35:10.449, 11 giu 2023","12,6","0,1","385.876.000","116.647.384"
"10:35:11.450, 11 giu 2023","14,5","0,1","385.876.000","64.175.744"
"10:35:12.451, 11 giu 2023","12,2","0,0","385.876.000","232.439.680"
"10:35:13.452, 11 giu 2023","13,0","0,0","385.876.000","152.621.888"
"10:35:14.454, 11 giu 2023","13,4","0,0","385.876.000","170.589.264"
"10:35:15.456, 11 giu 2023","12,4","0,0","385.876.000","180.189.584"
"10:35:16.498, 11 giu 2023","13,5","0,0","385.876.000","129.488.560"
"10:35:17.460, 11 giu 2023","13,4","0,0","385.876.000","66.938.096"
"10:35:18.462, 11 giu 2023","12,4","0,0","385.876.000","221.836.544"
"10:35:19.463, 11 giu 2023","12,2","0,0","385.876.000","156.364.544"
"10:35:20.464, 11 giu 2023","13,0","0,0","385.876.000","87.997.544"
"10:35:21.465, 11 giu 2023","12,2","0,0","385.876.000","234.711.792"
"10:35:22.466, 11 giu 2023","13,6","0,1","385.876.000","148.188.760"
"10:35:23.468, 11 giu 2023","12,6","0,1","385.876.000","62.383.968"
"10:35:24.470, 11 giu 2023","12,4","0,0","385.876.000","192.331.744"
"10:35:25.471, 11 giu 2023","12,4","0,1","385.876.000","104.271.328"
"10:35:26.472, 11 giu 2023","12,2","0,0","385.876.000","248.847.136"
"10:35:27.473, 11 giu 2023","13,8","0,0","385.876.000","195.086.448"
"10:35:28.474, 11 giu 2023","13,4","0,1","385.876.000","140.471.264"
"10:35:29.476, 11 giu 2023","12,2","0,0","385.876.000","40.732.832"
"10:35:30.477, 11 giu 2023","12,2","0,0","385.876.000","191.295.496"
"10:35:31.478, 11 giu 2023","12,4","0,0","385.876.000","108.834.304"
"10:35:32.480, 11 giu 2023","13,9","0,0","385.876.000","235.393.536"
"10:35:33.481, 11 giu 2023","13,0","0,0","385.876.000","146.563.984"
"10:35:34.482, 11 giu 2023","13,4","0,0","385.876.000","53.696.656"
"10:35:35.483, 11 giu 2023","12,6","0,0","385.876.000","194.236.736"
"10:35:36.484, 11 giu 2023","12,2","0,0","385.876.000","110.309.008"
"10:35:37.485, 11 giu 2023","14,0","0,0","385.876.000","242.353.368"
"10:35:38.486, 11 giu 2023","15,5","0,1","385.876.000","179.576.400"
"10:35:39.488, 11 giu 2023","12,0","0,1","385.876.000","112.763.664"
"10:35:40.489, 11 giu 2023","13,0","0,1","385.876.000","41.537.664"
"10:35:41.490, 11 giu 2023","13,3","0,0","385.876.000","171.447.896"
"10:35:42.491, 11 giu 2023","12,4","0,0","385.876.000","221.496.432"
"10:35:43.509, 11 giu 2023","12,5","0,0","385.876.000","124.522.440"
"10:35:44.494, 11 giu 2023","12,8","0,0","385.876.000","233.584.240"
"10:35:45.495, 11 giu 2023","13,6","0,0","385.876.000","143.312.360"
"10:35:46.496, 11 giu 2023","12,3","0,0","385.876.000","195.591.496"
"10:35:47.497, 11 giu 2023","12,3","0,0","385.876.000","47.217.504"
"10:35:48.499, 11 giu 2023","12,2","0,0","385.876.000","175.697.216"
"10:35:49.501, 11 giu 2023","13,1","0,0","385.876.000","83.914.624"
"10:35:50.502, 11 giu 2023","12,6","0,0","385.876.000","197.305.984"
"10:35:51.503, 11 giu 2023","12,7","0,0","385.876.000","109.458.048"
"10:35:52.504, 11 giu 2023","15,7","0,0","385.876.000","35.894.656"
"10:35:53.505, 11 giu 2023","12,3","0,0","385.876.000","58.957.504"
"10:35:54.506, 11 giu 2023","12,2","0,0","385.876.000","187.090.008"
"10:35:55.507, 11 giu 2023","13,0","0,1","385.876.000","101.084.864"
"10:35:56.509, 11 giu 2023","12,0","0,0","385.876.000","241.487.680"
"10:35:57.511, 11 giu 2023","12,8","0,1","385.876.000","159.692.072"
"10:35:58.512, 11 giu 2023","12,3","0,0","385.876.000","84.196.960"
"10:35:59.513, 11 giu 2023","12,2","0,0","385.876.000","43.746.200"
"10:36:00.515, 11 giu 2023","13,0","0,0","385.876.000","26.892.816"
"10:36:01.516, 11 giu 2023","13,2","0,0","385.876.000","154.740.976"
"10:36:02.517, 11 giu 2023","12,2","0,0","385.876.000","45.766.688"
"10:36:03.519, 11 giu 2023","12,2","0,0","385.876.000","197.316.160"
"10:36:04.521, 11 giu 2023","12,2","0,0","385.876.000","173.431.352"
"10:36:05.523, 11 giu 2023","14,5","0,0","385.876.000","146.341.616"
"10:36:06.524, 11 giu 2023","12,2","0,0","385.876.000","60.822.864"
"10:36:07.525, 11 giu 2023","13,0","0,0","385.876.000","241.244.368"
"10:36:08.526, 11 giu 2023","12,6","0,0","385.876.000","135.356.496"
"10:36:09.527, 11 giu 2023","12,2","0,0","385.876.000","248.257.248"
"10:36:10.528, 11 giu 2023","12,4","0,0","385.876.000","170.768.256"
"10:36:11.529, 11 giu 2023","13,5","0,0","385.876.000","108.834.304"
"10:36:12.530, 11 giu 2023","14,4","0,1","385.876.000","56.405.504"
"10:36:13.532, 11 giu 2023","12,0","0,0","385.876.000","219.983.360"
"10:36:14.533, 11 giu 2023","12,6","0,0","385.876.000","157.068.800"
"10:36:15.534, 11 giu 2023","13,6","0,0","385.876.000","91.332.136"
"10:36:16.535, 11 giu 2023","13,0","0,0","385.876.000","221.267.752"
"10:36:17.536, 11 giu 2023","13,8","0,0","385.876.000","145.207.400"
"10:36:18.537, 11 giu 2023","14,0","0,1","385.876.000","116.339.888"
"10:36:19.539, 11 giu 2023","12,6","0,0","385.876.000","68.988.416"
"10:36:20.540, 11 giu 2023","13,0","0,0","385.876.000","243.145.328"
"10:36:21.541, 11 giu 2023","11,8","0,0","385.876.000","177.347.456"
"10:36:22.542, 11 giu 2023","15,3","0,0","385.876.000","119.290.848"
"10:36:23.543, 11 giu 2023","12,6","0,0","385.876.000","234.938.656"
"10:36:24.544, 11 giu 2023","13,2","0,0","385.876.000","174.295.360"
"10:36:25.545, 11 giu 2023","11,8","0,0","385.876.000","131.265.528"
"10:36:26.546, 11 giu 2023","13,0","0,0","385.876.000","225.846.848"
"10:36:27.547, 11 giu 2023","12,2","0,0","385.876.000","114.855.608"
"10:36:28.548, 11 giu 2023","13,1","0,0","385.876.000","25.375.744"
"10:36:29.549, 11 giu 2023","12,4","0,0","385.876.000","224.805.632"
"10:36:30.550, 11 giu 2023","12,2","0,0","385.876.000","170.043.776"
"10:36:31.551, 11 giu 2023","14,2","0,0","385.876.000","120.539.216"
"10:36:32.552, 11 giu 2023","12,6","0,1","385.876.000","51.718.896"
"10:36:33.553, 11 giu 2023","12,2","0,0","385.876.000","237.727.392"
"10:36:34.555, 11 giu 2023","12,2","0,0","385.876.000","210.502.464"
"10:36:35.557, 11 giu 2023","13,5","0,0","385.876.000","142.475.760"
"10:36:36.559, 11 giu 2023","13,2","0,0","385.876.000","244.553.232"
"10:36:37.560, 11 giu 2023","12,1","0,0","385.876.000","135.619.648"
"10:36:38.561, 11 giu 2023","13,0","0,0","385.876.000","55.086.976"
"10:36:39.562, 11 giu 2023","12,6","0,0","385.876.000","223.959.512"
"10:36:40.564, 11 giu 2023","12,8","0,0","385.876.000","168.081.408"
