"Time [ms]","Size [B]","Used [B]","CPU usage [%]","GC activity [%]"
"18:02:59.160, 10 giu 2023","2.296.381.472","1.940.914.176","12,3","0,0"
"18:03:00.162, 10 giu 2023","2.296.381.472","1.943.011.328","13,3","0,0"
"18:03:01.163, 10 giu 2023","2.296.381.472","1.943.011.328","12,7","0,0"
"18:03:02.164, 10 giu 2023","2.296.381.472","1.943.011.328","12,2","0,0"
"18:03:03.165, 10 giu 2023","2.296.381.472","1.943.011.328","12,3","0,0"
"18:03:04.167, 10 giu 2023","2.296.381.472","1.945.108.480","13,1","0,0"
"18:03:05.168, 10 giu 2023","2.296.381.472","1.945.108.480","12,7","0,0"
"18:03:06.169, 10 giu 2023","2.296.381.472","1.945.108.480","12,4","0,0"
"18:03:07.171, 10 giu 2023","2.296.381.472","1.945.108.480","12,4","0,0"
"18:03:08.172, 10 giu 2023","2.296.381.472","1.945.108.480","12,2","0,0"
"18:03:09.173, 10 giu 2023","2.296.381.472","1.945.108.480","13,1","0,0"
"18:03:10.233, 10 giu 2023","2.296.381.472","1.919.942.656","28,1","2,3"
"18:03:11.202, 10 giu 2023","2.296.381.472","1.919.942.656","17,9","0,0"
"18:03:12.203, 10 giu 2023","2.296.381.472","1.919.942.656","12,0","0,0"
"18:03:13.204, 10 giu 2023","2.296.381.472","1.922.039.808","12,2","0,0"
"18:03:14.205, 10 giu 2023","2.296.381.472","1.922.039.808","13,7","0,0"
"18:03:15.207, 10 giu 2023","2.296.381.472","1.922.039.808","12,4","0,0"
"18:03:16.208, 10 giu 2023","2.296.381.472","1.922.039.808","12,4","0,0"
"18:03:17.210, 10 giu 2023","2.296.381.472","1.924.136.960","12,4","0,0"
"18:03:18.212, 10 giu 2023","2.296.381.472","1.924.136.960","13,0","0,0"
"18:03:19.214, 10 giu 2023","2.296.381.472","1.924.136.960","12,4","0,0"
"18:03:20.215, 10 giu 2023","2.296.381.472","1.924.136.960","12,2","0,0"
"18:03:21.217, 10 giu 2023","2.296.381.472","1.926.234.112","12,4","0,0"
"18:03:22.218, 10 giu 2023","2.296.381.472","1.926.234.112","12,4","0,0"
"18:03:23.219, 10 giu 2023","2.296.381.472","1.926.234.112","13,0","0,0"
"18:03:24.220, 10 giu 2023","2.296.381.472","1.926.234.112","12,0","0,0"
"18:03:25.221, 10 giu 2023","2.296.381.472","1.926.234.112","13,6","0,0"
"18:03:26.223, 10 giu 2023","2.296.381.472","1.928.331.264","12,0","0,0"
"18:03:27.224, 10 giu 2023","2.296.381.472","1.928.331.264","12,4","0,0"
"18:03:28.225, 10 giu 2023","2.296.381.472","1.928.331.264","12,5","0,0"
"18:03:29.226, 10 giu 2023","2.296.381.472","1.928.331.264","12,4","0,0"
"18:03:30.228, 10 giu 2023","2.296.381.472","1.930.428.416","13,1","0,0"
"18:03:31.229, 10 giu 2023","2.296.381.472","1.930.428.416","12,5","0,0"
"18:03:32.230, 10 giu 2023","2.296.381.472","1.930.428.416","12,2","0,0"
"18:03:33.232, 10 giu 2023","2.296.381.472","1.930.428.416","12,2","0,0"
"18:03:34.233, 10 giu 2023","2.296.381.472","1.930.428.416","13,0","0,0"
"18:03:35.234, 10 giu 2023","2.296.381.472","1.932.525.568","12,4","0,0"
"18:03:36.235, 10 giu 2023","2.296.381.472","1.932.525.568","12,4","0,0"
"18:03:37.237, 10 giu 2023","2.296.381.472","1.932.525.568","13,2","0,0"
"18:03:38.238, 10 giu 2023","2.296.381.472","1.932.525.568","12,4","0,0"
"18:03:39.239, 10 giu 2023","2.296.381.472","1.932.525.568","12,1","0,0"
"18:03:40.240, 10 giu 2023","2.296.381.472","1.934.622.720","13,3","0,0"
"18:03:41.242, 10 giu 2023","2.296.381.472","1.934.622.720","12,0","0,0"
"18:03:42.243, 10 giu 2023","2.296.381.472","1.934.622.720","12,3","0,0"
"18:03:43.244, 10 giu 2023","2.296.381.472","1.934.622.720","13,0","0,0"
"18:03:44.245, 10 giu 2023","2.296.381.472","1.936.719.872","12,2","0,0"
"18:03:45.246, 10 giu 2023","2.296.381.472","1.936.719.872","12,4","0,0"
"18:03:46.247, 10 giu 2023","2.296.381.472","1.936.719.872","12,2","0,0"
"18:03:47.248, 10 giu 2023","2.296.381.472","1.936.719.872","13,1","0,0"
"18:03:48.250, 10 giu 2023","2.296.381.472","1.936.719.872","12,2","0,0"
"18:03:49.251, 10 giu 2023","2.296.381.472","1.938.817.024","12,2","0,0"
"18:03:50.253, 10 giu 2023","2.296.381.472","1.938.817.024","13,2","0,0"
"18:03:51.254, 10 giu 2023","2.296.381.472","1.938.817.024","12,3","0,0"
"18:03:52.255, 10 giu 2023","2.296.381.472","1.938.817.024","12,6","0,0"
"18:03:53.256, 10 giu 2023","2.296.381.472","1.938.817.024","12,2","0,0"
"18:03:54.257, 10 giu 2023","2.296.381.472","1.940.914.176","12,8","0,0"
"18:03:55.258, 10 giu 2023","2.296.381.472","1.940.914.176","12,4","0,0"
"18:03:56.260, 10 giu 2023","2.296.381.472","1.940.914.176","12,8","0,0"
"18:03:57.261, 10 giu 2023","2.296.381.472","1.940.914.176","12,2","0,0"
"18:03:58.262, 10 giu 2023","2.296.381.472","1.943.011.328","13,2","0,0"
"18:03:59.263, 10 giu 2023","2.296.381.472","1.943.011.328","12,6","0,0"
"18:04:00.264, 10 giu 2023","2.296.381.472","1.943.011.328","12,4","0,0"
"18:04:01.265, 10 giu 2023","2.296.381.472","1.943.011.328","12,2","0,0"
"18:04:02.266, 10 giu 2023","2.296.381.472","1.943.011.328","13,5","0,0"
"18:04:03.268, 10 giu 2023","2.296.381.472","1.943.011.328","12,4","0,0"
"18:04:04.270, 10 giu 2023","2.296.381.472","1.945.108.480","12,2","0,0"
"18:04:05.272, 10 giu 2023","2.296.381.472","1.945.108.480","12,3","0,0"
"18:04:06.273, 10 giu 2023","2.296.381.472","1.945.108.480","13,2","0,0"
"18:04:07.274, 10 giu 2023","2.296.381.472","1.945.108.480","12,4","0,0"
"18:04:08.275, 10 giu 2023","2.296.381.472","1.947.205.632","12,2","0,0"
"18:04:09.276, 10 giu 2023","2.296.381.472","1.947.205.632","13,2","0,0"
"18:04:10.277, 10 giu 2023","2.296.381.472","1.947.205.632","12,2","0,0"
"18:04:11.279, 10 giu 2023","2.296.381.472","1.947.205.632","12,2","0,0"
"18:04:12.280, 10 giu 2023","2.296.381.472","1.949.302.784","13,2","0,0"
"18:04:13.282, 10 giu 2023","2.296.381.472","1.949.302.784","12,4","0,0"
"18:04:14.284, 10 giu 2023","2.296.381.472","1.949.302.784","13,2","0,0"
"18:04:15.286, 10 giu 2023","2.296.381.472","1.949.302.784","12,2","0,0"
"18:04:16.287, 10 giu 2023","2.296.381.472","1.951.399.936","12,2","0,0"
"18:04:17.288, 10 giu 2023","2.296.381.472","1.951.399.936","12,2","0,0"
"18:04:18.289, 10 giu 2023","2.296.381.472","1.951.399.936","12,4","0,0"
"18:04:19.290, 10 giu 2023","2.296.381.472","1.951.399.936","13,0","0,0"
"18:04:20.291, 10 giu 2023","2.296.381.472","1.951.399.936","12,4","0,0"
"18:04:21.292, 10 giu 2023","2.296.381.472","1.953.497.088","12,7","0,0"
"18:04:22.294, 10 giu 2023","2.296.381.472","1.953.497.088","12,3","0,0"
"18:04:23.295, 10 giu 2023","2.296.381.472","1.953.497.088","12,3","0,0"
"18:04:24.296, 10 giu 2023","2.296.381.472","1.953.497.088","13,1","0,0"
"18:04:25.297, 10 giu 2023","2.296.381.472","1.955.594.240","12,2","0,0"
"18:04:26.298, 10 giu 2023","2.296.381.472","1.955.594.240","12,6","0,0"
"18:04:27.299, 10 giu 2023","2.296.381.472","1.955.594.240","12,2","0,0"
"18:04:28.300, 10 giu 2023","2.296.381.472","1.955.594.240","12,8","0,0"
"18:04:29.301, 10 giu 2023","2.296.381.472","1.955.594.240","12,3","0,0"
"18:04:30.303, 10 giu 2023","2.296.381.472","1.957.691.392","12,2","0,0"
"18:04:31.304, 10 giu 2023","2.296.381.472","1.957.691.392","12,2","0,0"
"18:04:32.305, 10 giu 2023","2.296.381.472","1.957.691.392","13,0","0,0"
"18:04:33.306, 10 giu 2023","2.296.381.472","1.957.691.392","12,2","0,0"
"18:04:34.308, 10 giu 2023","2.296.381.472","1.957.691.392","12,2","0,0"
"18:04:35.309, 10 giu 2023","2.296.381.472","1.959.788.544","13,0","0,0"
"18:04:36.310, 10 giu 2023","2.296.381.472","1.959.788.544","12,4","0,0"
"18:04:37.311, 10 giu 2023","2.296.381.472","1.959.788.544","12,4","0,0"
"18:04:38.312, 10 giu 2023","2.296.381.472","1.959.788.544","13,4","0,0"
"18:04:39.312, 10 giu 2023","2.296.381.472","1.961.885.696","12,3","0,0"
"18:04:40.313, 10 giu 2023","2.296.381.472","1.961.885.696","12,5","0,0"
"18:04:41.314, 10 giu 2023","2.296.381.472","1.961.885.696","12,6","0,0"
"18:04:42.315, 10 giu 2023","2.296.381.472","1.961.885.696","12,3","0,0"
"18:04:43.317, 10 giu 2023","2.296.381.472","1.961.885.696","13,1","0,0"
"18:04:44.318, 10 giu 2023","2.296.381.472","1.961.885.696","12,2","0,0"
"18:04:45.319, 10 giu 2023","2.296.381.472","1.963.982.848","12,6","0,0"
"18:04:46.321, 10 giu 2023","2.296.381.472","1.963.982.848","13,2","0,0"
"18:04:47.323, 10 giu 2023","2.296.381.472","1.963.982.848","12,4","0,0"
"18:04:48.324, 10 giu 2023","2.296.381.472","1.966.080.000","12,0","0,0"
"18:04:49.325, 10 giu 2023","2.296.381.472","1.966.080.000","12,2","0,0"
"18:04:50.327, 10 giu 2023","2.296.381.472","1.966.080.000","13,2","0,0"
"18:04:51.328, 10 giu 2023","2.296.381.472","1.966.080.000","12,0","0,0"
"18:04:52.329, 10 giu 2023","2.296.381.472","1.966.080.000","12,5","0,0"
"18:04:53.331, 10 giu 2023","2.296.381.472","1.966.080.000","12,8","0,0"
"18:04:54.332, 10 giu 2023","2.296.381.472","1.966.080.000","13,4","0,0"
"18:04:55.333, 10 giu 2023","2.296.381.472","1.966.080.000","12,4","0,0"
"18:04:56.334, 10 giu 2023","2.296.381.472","1.968.177.152","12,5","0,0"
"18:04:57.336, 10 giu 2023","2.296.381.472","1.968.177.152","12,3","0,0"
"18:04:58.337, 10 giu 2023","2.296.381.472","1.968.177.152","12,3","0,0"
"18:04:59.338, 10 giu 2023","2.296.381.472","1.970.274.304","13,9","0,0"
"18:05:00.339, 10 giu 2023","2.296.381.472","1.970.274.304","12,5","0,0"
"18:05:01.341, 10 giu 2023","2.296.381.472","1.970.274.304","12,2","0,0"
"18:05:02.342, 10 giu 2023","2.296.381.472","1.970.274.304","12,4","0,0"
"18:05:03.344, 10 giu 2023","2.296.381.472","1.970.274.304","12,2","0,0"
"18:05:04.345, 10 giu 2023","2.296.381.472","1.972.371.456","13,4","0,0"
"18:05:05.346, 10 giu 2023","2.296.381.472","1.972.371.456","12,6","0,0"
"18:05:06.347, 10 giu 2023","2.296.381.472","1.972.371.456","12,4","0,0"
"18:05:07.348, 10 giu 2023","2.296.381.472","1.972.371.456","13,1","0,0"
"18:05:08.349, 10 giu 2023","2.296.381.472","1.972.371.456","11,8","0,0"
"18:05:09.351, 10 giu 2023","2.296.381.472","1.974.468.608","13,0","0,0"
"18:05:10.352, 10 giu 2023","2.296.381.472","1.974.468.608","12,4","0,0"
"18:05:11.353, 10 giu 2023","2.296.381.472","1.974.468.608","12,6","0,0"
"18:05:12.354, 10 giu 2023","2.296.381.472","1.974.468.608","12,4","0,0"
"18:05:13.355, 10 giu 2023","2.296.381.472","1.974.468.608","13,3","0,0"
"18:05:14.356, 10 giu 2023","2.296.381.472","1.976.565.760","12,2","0,0"
"18:05:15.358, 10 giu 2023","2.296.381.472","1.976.565.760","12,6","0,0"
"18:05:16.359, 10 giu 2023","2.296.381.472","1.976.565.760","13,0","0,0"
"18:05:17.361, 10 giu 2023","2.296.381.472","1.976.565.760","12,6","0,0"
"18:05:18.363, 10 giu 2023","2.296.381.472","1.978.662.912","12,2","0,0"
"18:05:19.364, 10 giu 2023","2.296.381.472","1.978.662.912","12,3","0,0"
"18:05:20.366, 10 giu 2023","2.296.381.472","1.978.662.912","12,5","0,0"
"18:05:21.367, 10 giu 2023","2.296.381.472","1.978.662.912","13,0","0,0"
"18:05:22.369, 10 giu 2023","2.296.381.472","1.978.662.912","12,4","0,0"
"18:05:23.371, 10 giu 2023","2.296.381.472","1.978.662.912","12,4","0,0"
"18:05:24.372, 10 giu 2023","2.296.381.472","1.980.760.064","13,2","0,0"
"18:05:25.374, 10 giu 2023","2.296.381.472","1.980.760.064","12,2","0,0"
"18:05:26.375, 10 giu 2023","2.296.381.472","1.980.760.064","12,5","0,0"
"18:05:27.375, 10 giu 2023","2.296.381.472","1.980.760.064","12,2","0,0"
"18:05:28.377, 10 giu 2023","2.296.381.472","1.980.760.064","13,4","0,0"
"18:05:29.379, 10 giu 2023","2.296.381.472","1.982.857.216","12,2","0,0"
"18:05:30.380, 10 giu 2023","2.296.381.472","1.982.857.216","12,2","0,0"
"18:05:31.381, 10 giu 2023","2.296.381.472","1.982.857.216","13,0","0,0"
"18:05:32.383, 10 giu 2023","2.296.381.472","1.982.857.216","12,2","0,0"
"18:05:33.385, 10 giu 2023","2.296.381.472","1.984.954.368","12,2","0,0"
"18:05:34.386, 10 giu 2023","2.296.381.472","1.984.954.368","12,2","0,0"
"18:05:35.387, 10 giu 2023","2.296.381.472","1.984.954.368","13,0","0,0"
"18:05:36.389, 10 giu 2023","2.296.381.472","1.987.051.520","12,2","0,0"
"18:05:37.390, 10 giu 2023","2.296.381.472","1.987.051.520","12,2","0,0"
"18:05:38.391, 10 giu 2023","2.296.381.472","1.987.051.520","13,2","0,0"
"18:05:39.392, 10 giu 2023","2.296.381.472","1.987.051.520","11,8","0,0"
"18:05:40.394, 10 giu 2023","2.296.381.472","1.987.051.520","12,5","0,0"
"18:05:41.395, 10 giu 2023","2.296.381.472","1.987.051.520","13,1","0,0"
"18:05:42.397, 10 giu 2023","2.296.381.472","1.989.148.672","12,2","0,0"
"18:05:43.398, 10 giu 2023","2.296.381.472","1.989.148.672","12,2","0,0"
"18:05:44.400, 10 giu 2023","2.296.381.472","1.989.148.672","13,5","0,0"
"18:05:45.402, 10 giu 2023","2.296.381.472","1.989.148.672","12,4","0,0"
"18:05:46.404, 10 giu 2023","2.296.381.472","1.989.148.672","12,3","0,0"
"18:05:47.405, 10 giu 2023","2.296.381.472","1.989.148.672","12,5","0,0"
"18:05:48.407, 10 giu 2023","2.296.381.472","1.991.245.824","12,3","0,0"
"18:05:49.408, 10 giu 2023","2.296.381.472","1.991.245.824","12,2","0,0"
"18:05:50.409, 10 giu 2023","2.296.381.472","1.991.245.824","13,5","0,0"
"18:05:51.409, 10 giu 2023","2.296.381.472","1.993.342.976","12,2","0,0"
"18:05:52.410, 10 giu 2023","2.296.381.472","1.993.342.976","12,3","0,0"
"18:05:53.412, 10 giu 2023","2.296.381.472","1.993.342.976","12,2","0,0"
"18:05:54.414, 10 giu 2023","2.296.381.472","1.993.342.976","13,0","0,0"
"18:05:55.415, 10 giu 2023","2.296.381.472","1.995.440.128","12,6","0,0"
"18:05:56.416, 10 giu 2023","2.296.381.472","1.995.440.128","12,2","0,0"
"18:05:57.418, 10 giu 2023","2.296.381.472","1.995.440.128","12,2","0,0"
"18:05:58.420, 10 giu 2023","2.296.381.472","1.995.440.128","13,1","0,0"
"18:05:59.422, 10 giu 2023","2.296.381.472","1.997.537.280","12,4","0,0"
"18:06:00.424, 10 giu 2023","2.296.381.472","1.997.537.280","12,2","0,0"
"18:06:01.425, 10 giu 2023","2.296.381.472","1.997.537.280","12,8","0,0"
"18:06:02.426, 10 giu 2023","2.296.381.472","1.997.537.280","13,2","0,0"
"18:06:03.427, 10 giu 2023","2.296.381.472","1.999.634.432","12,2","0,0"
"18:06:04.428, 10 giu 2023","2.296.381.472","1.999.634.432","12,3","0,0"
"18:06:05.429, 10 giu 2023","2.296.381.472","1.999.634.432","12,2","0,0"
"18:06:06.431, 10 giu 2023","2.296.381.472","1.999.634.432","13,3","0,0"
"18:06:07.432, 10 giu 2023","2.296.381.472","1.999.634.432","12,4","0,0"
"18:06:08.433, 10 giu 2023","2.296.381.472","1.999.634.432","12,8","0,0"
"18:06:09.435, 10 giu 2023","2.296.381.472","2.001.731.584","12,2","0,0"
"18:06:10.436, 10 giu 2023","2.296.381.472","2.001.731.584","13,5","0,0"
"18:06:11.438, 10 giu 2023","2.296.381.472","2.001.731.584","12,2","0,0"
"18:06:12.439, 10 giu 2023","2.296.381.472","2.001.731.584","12,4","0,0"
"18:06:13.440, 10 giu 2023","2.296.381.472","2.003.828.736","12,7","0,0"
"18:06:14.441, 10 giu 2023","2.296.381.472","2.003.828.736","13,6","0,0"
"18:06:15.442, 10 giu 2023","2.296.381.472","2.003.828.736","12,2","0,0"
"18:06:16.443, 10 giu 2023","2.296.381.472","2.003.828.736","12,2","0,0"
"18:06:17.443, 10 giu 2023","2.296.381.472","2.005.925.888","13,2","0,0"
"18:06:18.444, 10 giu 2023","2.296.381.472","2.005.925.888","12,2","0,0"
"18:06:19.446, 10 giu 2023","2.296.381.472","2.005.925.888","12,2","0,0"
"18:06:20.448, 10 giu 2023","2.296.381.472","2.005.925.888","13,0","0,0"
"18:06:21.449, 10 giu 2023","2.296.381.472","2.008.023.040","12,4","0,0"
"18:06:22.450, 10 giu 2023","2.296.381.472","2.008.023.040","12,4","0,0"
"18:06:23.451, 10 giu 2023","2.296.381.472","2.008.023.040","13,0","0,0"
"18:06:24.452, 10 giu 2023","2.296.381.472","2.008.023.040","12,2","0,0"
"18:06:25.454, 10 giu 2023","2.296.381.472","2.010.120.192","12,4","0,0"
"18:06:26.455, 10 giu 2023","2.296.381.472","2.010.120.192","13,0","0,0"
"18:06:27.456, 10 giu 2023","2.296.381.472","2.010.120.192","12,6","0,0"
"18:06:28.457, 10 giu 2023","2.296.381.472","2.010.120.192","12,4","0,0"
"18:06:29.458, 10 giu 2023","2.296.381.472","2.012.217.344","12,3","0,0"
"18:06:30.459, 10 giu 2023","2.296.381.472","2.012.217.344","12,5","0,0"
"18:06:31.461, 10 giu 2023","2.296.381.472","2.012.217.344","12,4","0,0"
"18:06:32.462, 10 giu 2023","2.296.381.472","2.012.217.344","13,0","0,0"
"18:06:33.463, 10 giu 2023","2.296.381.472","2.014.314.496","12,6","0,0"
"18:06:34.463, 10 giu 2023","2.296.381.472","2.014.314.496","12,2","0,0"
"18:06:35.464, 10 giu 2023","2.296.381.472","2.014.314.496","12,2","0,0"
"18:06:36.465, 10 giu 2023","2.296.381.472","2.014.314.496","13,2","0,0"
"18:06:37.467, 10 giu 2023","2.296.381.472","2.014.314.496","12,4","0,0"
"18:06:38.468, 10 giu 2023","2.296.381.472","2.014.314.496","12,5","0,0"
"18:06:39.469, 10 giu 2023","2.296.381.472","2.016.411.648","12,2","0,0"
"18:06:40.471, 10 giu 2023","2.296.381.472","2.016.411.648","13,2","0,0"
"18:06:41.473, 10 giu 2023","2.296.381.472","2.016.411.648","12,4","0,0"
"18:06:42.484, 10 giu 2023","2.296.381.472","1.990.197.248","28,3","2,7"
"18:06:43.475, 10 giu 2023","2.296.381.472","1.990.197.248","17,4","0,0"
"18:06:44.477, 10 giu 2023","2.296.381.472","1.990.197.248","12,6","0,0"
"18:06:45.479, 10 giu 2023","2.296.381.472","1.990.197.248","12,3","0,0"
"18:06:46.480, 10 giu 2023","2.296.381.472","1.990.197.248","12,3","0,0"
"18:06:47.481, 10 giu 2023","2.296.381.472","1.990.197.248","13,1","0,0"
"18:06:48.483, 10 giu 2023","2.296.381.472","1.990.197.248","12,4","0,0"
"18:06:49.485, 10 giu 2023","2.296.381.472","1.992.294.400","12,2","0,0"
"18:06:50.487, 10 giu 2023","2.296.381.472","1.992.294.400","12,6","0,0"
"18:06:51.489, 10 giu 2023","2.296.381.472","1.992.294.400","12,2","0,0"
"18:06:52.490, 10 giu 2023","2.296.381.472","1.992.294.400","13,4","0,0"
"18:06:53.492, 10 giu 2023","2.296.381.472","1.992.294.400","12,2","0,0"
"18:06:54.493, 10 giu 2023","2.296.381.472","1.994.391.552","12,5","0,0"
"18:06:55.495, 10 giu 2023","2.296.381.472","1.994.391.552","12,2","0,0"
"18:06:56.496, 10 giu 2023","2.296.381.472","1.994.391.552","13,0","0,0"
"18:06:57.497, 10 giu 2023","2.296.381.472","1.994.391.552","12,4","0,0"
"18:06:58.499, 10 giu 2023","2.296.381.472","1.994.391.552","12,4","0,0"
"18:06:59.500, 10 giu 2023","2.296.381.472","1.994.391.552","13,0","0,0"
"18:07:00.501, 10 giu 2023","2.296.381.472","1.994.391.552","12,2","0,0"
"18:07:01.503, 10 giu 2023","2.296.381.472","1.996.488.704","12,4","0,0"
"18:07:02.505, 10 giu 2023","2.296.381.472","1.996.488.704","13,2","0,0"
"18:07:03.506, 10 giu 2023","2.296.381.472","1.998.585.856","12,2","0,0"
"18:07:04.507, 10 giu 2023","2.296.381.472","1.998.585.856","12,2","0,0"
"18:07:05.508, 10 giu 2023","2.296.381.472","1.998.585.856","12,2","0,0"
"18:07:06.509, 10 giu 2023","2.296.381.472","1.998.585.856","13,2","0,0"
"18:07:07.510, 10 giu 2023","2.296.381.472","1.998.585.856","12,4","0,0"
"18:07:08.512, 10 giu 2023","2.296.381.472","1.998.585.856","12,2","0,0"
"18:07:09.513, 10 giu 2023","2.296.381.472","2.000.683.008","13,1","0,0"
"18:07:10.514, 10 giu 2023","2.296.381.472","2.000.683.008","12,5","0,0"
"18:07:11.515, 10 giu 2023","2.296.381.472","2.000.683.008","12,7","0,0"
"18:07:12.517, 10 giu 2023","2.296.381.472","2.000.683.008","12,2","0,0"
"18:07:13.518, 10 giu 2023","2.296.381.472","2.000.683.008","13,2","0,0"
"18:07:14.519, 10 giu 2023","2.296.381.472","2.002.780.160","12,2","0,0"
"18:07:15.521, 10 giu 2023","2.296.381.472","2.002.780.160","12,4","0,0"
"18:07:16.522, 10 giu 2023","2.296.381.472","2.002.780.160","12,7","0,0"
"18:07:17.523, 10 giu 2023","2.296.381.472","2.002.780.160","13,0","0,0"
"18:07:18.524, 10 giu 2023","2.296.381.472","2.004.877.312","12,0","0,0"
"18:07:19.525, 10 giu 2023","2.296.381.472","2.004.877.312","12,4","0,0"
"18:07:20.526, 10 giu 2023","2.296.381.472","2.004.877.312","12,2","0,0"
"18:07:21.527, 10 giu 2023","2.296.381.472","2.004.877.312","13,3","0,0"
"18:07:22.529, 10 giu 2023","2.296.381.472","2.004.877.312","12,3","0,0"
"18:07:23.530, 10 giu 2023","2.296.381.472","2.004.877.312","12,3","0,0"
"18:07:24.531, 10 giu 2023","2.296.381.472","2.006.974.464","12,3","0,0"
"18:07:25.533, 10 giu 2023","2.296.381.472","2.006.974.464","13,1","0,0"
"18:07:26.534, 10 giu 2023","2.296.381.472","2.006.974.464","12,6","0,0"
"18:07:27.535, 10 giu 2023","2.296.381.472","2.009.071.616","13,8","0,0"
"18:07:28.536, 10 giu 2023","2.296.381.472","2.009.071.616","12,4","0,0"
"18:07:29.537, 10 giu 2023","2.296.381.472","2.009.071.616","12,3","0,0"
"18:07:30.539, 10 giu 2023","2.296.381.472","2.009.071.616","12,3","0,0"
"18:07:31.540, 10 giu 2023","2.296.381.472","2.009.071.616","12,3","0,0"
"18:07:32.542, 10 giu 2023","2.296.381.472","2.009.071.616","13,1","0,0"
"18:07:33.543, 10 giu 2023","2.296.381.472","2.011.168.768","12,5","0,0"
"18:07:34.544, 10 giu 2023","2.296.381.472","2.011.168.768","12,3","0,0"
"18:07:35.546, 10 giu 2023","2.296.381.472","2.011.168.768","12,7","0,0"
"18:07:36.548, 10 giu 2023","2.296.381.472","2.011.168.768","12,8","0,0"
"18:07:37.549, 10 giu 2023","2.296.381.472","2.011.168.768","13,3","0,0"
"18:07:38.550, 10 giu 2023","2.296.381.472","2.013.265.920","12,4","0,0"
"18:07:39.551, 10 giu 2023","2.296.381.472","2.013.265.920","12,3","0,0"
"18:07:40.552, 10 giu 2023","2.296.381.472","2.013.265.920","12,5","0,0"
"18:07:41.553, 10 giu 2023","2.296.381.472","2.013.265.920","13,0","0,0"
"18:07:42.554, 10 giu 2023","2.296.381.472","2.015.363.072","12,4","0,0"
"18:07:43.556, 10 giu 2023","2.296.381.472","2.015.363.072","12,2","0,0"
"18:07:44.557, 10 giu 2023","2.296.381.472","2.015.363.072","12,3","0,0"
"18:07:45.559, 10 giu 2023","2.296.381.472","2.015.363.072","13,3","0,0"
"18:07:46.561, 10 giu 2023","2.296.381.472","2.017.460.224","12,4","0,0"
"18:07:47.562, 10 giu 2023","2.296.381.472","2.017.460.224","12,4","0,0"
"18:07:48.564, 10 giu 2023","2.296.381.472","2.017.460.224","12,2","0,0"
"18:07:49.566, 10 giu 2023","2.296.381.472","2.017.460.224","13,6","0,0"
"18:07:50.567, 10 giu 2023","2.296.381.472","2.017.460.224","12,1","0,0"
"18:07:51.568, 10 giu 2023","2.296.381.472","2.019.557.376","12,4","0,0"
"18:07:52.569, 10 giu 2023","2.296.381.472","2.019.557.376","12,3","0,0"
"18:07:53.570, 10 giu 2023","2.296.381.472","2.019.557.376","13,1","0,0"
"18:07:54.572, 10 giu 2023","2.296.381.472","2.019.557.376","12,2","0,0"
"18:07:55.573, 10 giu 2023","2.296.381.472","2.021.654.528","12,6","0,0"
"18:07:56.573, 10 giu 2023","2.296.381.472","2.021.654.528","13,0","0,0"
"18:07:57.574, 10 giu 2023","2.296.381.472","2.021.654.528","12,2","0,0"
"18:07:58.576, 10 giu 2023","2.296.381.472","2.021.654.528","12,2","0,0"
"18:07:59.577, 10 giu 2023","2.296.381.472","2.023.751.680","12,2","0,0"
"18:08:00.578, 10 giu 2023","2.296.381.472","2.023.751.680","13,2","0,0"
"18:08:01.579, 10 giu 2023","2.296.381.472","2.023.751.680","12,4","0,0"
"18:08:02.580, 10 giu 2023","2.296.381.472","2.023.751.680","12,2","0,0"
"18:08:03.581, 10 giu 2023","2.296.381.472","2.023.751.680","13,2","0,0"
"18:08:04.582, 10 giu 2023","2.296.381.472","2.023.751.680","12,4","0,0"
"18:08:05.584, 10 giu 2023","2.296.381.472","2.025.848.832","12,4","0,0"
"18:08:06.585, 10 giu 2023","2.296.381.472","2.025.848.832","13,2","0,0"
"18:08:07.586, 10 giu 2023","2.296.381.472","2.025.848.832","12,4","0,0"
"18:08:08.587, 10 giu 2023","2.296.381.472","2.025.848.832","12,2","0,0"
"18:08:09.587, 10 giu 2023","2.296.381.472","2.025.848.832","12,5","0,0"
"18:08:10.588, 10 giu 2023","2.296.381.472","2.027.945.984","12,3","0,0"
"18:08:11.589, 10 giu 2023","2.296.381.472","2.027.945.984","13,1","0,0"
"18:08:12.590, 10 giu 2023","2.296.381.472","2.027.945.984","12,3","0,0"
"18:08:13.591, 10 giu 2023","2.296.381.472","2.027.945.984","12,4","0,0"
"18:08:14.592, 10 giu 2023","2.296.381.472","2.030.043.136","12,2","0,0"
"18:08:15.594, 10 giu 2023","2.296.381.472","2.030.043.136","13,7","0,0"
"18:08:16.595, 10 giu 2023","2.296.381.472","2.030.043.136","12,4","0,0"
"18:08:17.596, 10 giu 2023","2.296.381.472","2.030.043.136","12,9","0,0"
"18:08:18.598, 10 giu 2023","2.296.381.472","2.030.043.136","12,4","0,0"
"18:08:19.600, 10 giu 2023","2.296.381.472","2.030.043.136","13,0","0,0"
"18:08:20.601, 10 giu 2023","2.296.381.472","2.032.140.288","12,2","0,0"
"18:08:21.602, 10 giu 2023","2.296.381.472","2.032.140.288","12,4","0,0"
"18:08:22.604, 10 giu 2023","2.296.381.472","2.032.140.288","13,3","0,0"
